"ALVARADO ISD","ALVARADO INT","126901104","126901","126","11","JOHNSON","M","05 - 08","N"
"ALVARADO ISD","ALVARADO J H","126901041","126901","126","11","JOHNSON","M","07 - 08","N"
"ALVARADO ISD","LILLIAN EL","126901103","126901","126","11","JOHNSON","E","EE - 04","N"
"ALVIN ISD","ALVIN EL","020901101","020901","020","04","BRAZORIA","E","04 - 06","N"
"ALVIN ISD","ALVIN HIGH SCHOOL","020901001","020901","020","04","BRAZORIA","B","EE - 12","N"
"ALVIN ISD","ALVIN J H","020901041","020901","020","04","BRAZORIA","M","07 - 08","N"
"ALVIN ISD","ALVIN PRI","020901102","020901","020","04","BRAZORIA","E","EE - 03","N"
"ALVIN ISD","ASSETS LEARNING CTR","020901044","020901","020","04","BRAZORIA","M","07 - 08","N"
"ALVIN ISD","BRAZORIA CO J J A E P","020901004","020901","020","04","BRAZORIA","S","07 - 10","N"
"ALVIN ISD","DAY STAR RESIDENTIAL","020901200","020901","020","04","BRAZORIA","B","KG - 12","N"
"ALVIN ISD","DON JETER ELEMENTARY","020901110","020901","020","04","BRAZORIA","E","PK - 06","N"
"ALVIN ISD","E C MASON PRI","020901105","020901","020","04","BRAZORIA","E","EE - 06","N"
"ALVIN ISD","G W HARBY J H","020901043","020901","020","04","BRAZORIA","M","07 - 08","N"
"ALVIN ISD","HOOD-CASE EL","020901109","020901","020","04","BRAZORIA","E","EE - 06","N"
"ALVIN ISD","LONGFELLOW ELEMENTARY","020901104","020901","020","04","BRAZORIA","E","04 - 06","N"
"ALVIN ISD","MANVEL J H","020901042","020901","020","04","BRAZORIA","M","07 - 08","N"
"ALVIN ISD","MARK TWAIN PRI","020901103","020901","020","04","BRAZORIA","E","EE - 03","N"
"ALVIN ISD","MELBA PASSMORE ELEMENTARY","020901108","020901","020","04","BRAZORIA","E","EE - 06","N"
"ALVIN ISD","R L STEVENSON EL","020901106","020901","020","04","BRAZORIA","E","EE - 03","N"
"ALVIN ISD","WALT DISNEY EL","020901107","020901","020","04","BRAZORIA","E","04 - 06","N"
"ALVORD ISD","ALVORD EL","249901101","249901","249","11","WISE","E","PK - 05","N"
"ALVORD ISD","ALVORD H S","249901001","249901","249","11","WISE","S","09 - 12","N"
"ALVORD ISD","ALVORD MIDDLE SCHOOL","249901041","249901","249","11","WISE","M","06 - 08","N"
"AMARILLO ISD","AMARILLO AREA CTR FOR ADVANCED LR","188901003","188901","188","16","POTTER","S","10 - 12","N"
"AMARILLO ISD","AMARILLO H S","188901001","188901","188","16","POTTER","S","09 - 12","N"
"AMARILLO ISD","AUSTIN MIDDLE","188901041","188901","188","16","POTTER","M","06 - 08","N"
"AMARILLO ISD","AVONDALE EL","188901101","188901","188","16","POTTER","E","PK - 05","N"
"AMARILLO ISD","BELMAR EL","188901102","188901","188","16","POTTER","E","EE - 05","N"
"AMARILLO ISD","BIVINS EL","188901103","188901","188","16","POTTER","E","PK - 05","N"
"AMARILLO ISD","BONHAM MIDDLE","188901048","188901","188","16","POTTER","M","06 - 08","N"
"AMARILLO ISD","BOWIE MIDDLE","188901042","188901","188","16","POTTER","M","06 - 08","N"
"AMARILLO ISD","CAPROCK H S","188901002","188901","188","16","POTTER","S","09 - 12","N"
"AMARILLO ISD","CARVER EARLY CHILDHOOD ACADEMY","188901110","188901","188","16","POTTER","E","EE - 01","N"
"AMARILLO ISD","CARVER EL ACADEMY","188901170","188901","188","16","POTTER","E","02 - 05","N"
"AMARILLO ISD","CORONADO EL","188901104","188901","188","16","POTTER","E","EE - 05","N"
"AMARILLO ISD","CROCKETT MIDDLE","188901043","188901","188","16","POTTER","M","06 - 08","N"
"AMARILLO ISD","EASTRIDGE EL","188901105","188901","188","16","POTTER","E","EE - 05","N"
"AMARILLO ISD","EMERSON EL","188901106","188901","188","16","POTTER","E","PK - 05","N"
