"ALDINE ISD","ESCAMILLA INT","101902","101902063","","N","R","NA","","N","05 - 06","101","04","HARRIS","Middle"
"ALDINE ISD","EVELYN S THOMPSON EL","101902","101902117","","N","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","FRANCIS EL","101902","101902105","","N","A","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","GRAY EL","101902","101902125","","N","R","NA","","N","PK - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","HAMBRICK MIDDLE","101902","101902043","","N","R","NA","","N","07 - 08","101","04","HARRIS","Middle"
"ALDINE ISD","HIDDEN VALLEY EL","101902","101902106","","N","R","NA","","N","PK - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","HOFFMAN MIDDLE","101902","101902046","","N","A","NA","","N","07 - 08","101","04","HARRIS","Middle"
"ALDINE ISD","INWOOD EL","101902","101902114","","N","A","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","JOHNSON EL","101902","101902116","","N","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","LANE SCH","101902","101902108","","N","N","NR","","N","EE - 12","101","04","HARRIS","Both Elem/Sec"
"ALDINE ISD","MACARTHUR H S","101902","101902003","","N","A","NQ","","N","09 - 12","101","04","HARRIS","Secondary"
"ALDINE ISD","MAGRILL EL","101902","101902120","","N","E","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","MENDEL EL","101902","101902109","","N","E","NA","","N","PK - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","NIGHT H S","101902","101902006","","N","1","PE","","N","09 - 12","101","04","HARRIS","Secondary"
"ALDINE ISD","OLESON EL","101902","101902111","","N","E","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","ORANGE GROVE EL","101902","101902112","","N","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","PARKER INT","101902","101902065","","N","A","NA","","N","05 - 07","101","04","HARRIS","Middle"
"ALDINE ISD","PROJECT RECOVERY","101902","101902009","","N","1","PE","","N","05 - 12","101","04","HARRIS","Both Elem/Sec"
"ALDINE ISD","RAYMOND EL","101902","101902113","","P","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","REECE ACADEMY","101902","101902104","","N","N","NR","","N","PK - KG","101","04","HARRIS","Elementary"
"ALDINE ISD","RUBY REED INT","101902","101902068","","N","A","NA","","N","05 - 06","101","04","HARRIS","Middle"
"ALDINE ISD","SAMMONS EL","101902","101902118","","P","E","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","SHOTWELL MIDDLE","101902","101902047","","N","A","NA","","N","07 - 08","101","04","HARRIS","Middle"
"ALDINE ISD","STEHLIK INT","101902","101902064","","N","R","NA","","N","05 - 06","101","04","HARRIS","Middle"
"ALDINE ISD","STEPHENS EL","101902","101902119","","N","E","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","STOVALL EL","101902","101902127","","N","A","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","STOVALL MIDDLE","101902","101902044","","P","A","NA","","N","07 - 08","101","04","HARRIS","Middle"
"ALDINE ISD","T S GRANTHAM MIDDLE","101902","101902048","","N","R","NA","","N","07 - 08","101","04","HARRIS","Middle"
"ALDINE ISD","TEAGUE MIDDLE","101902","101902045","","N","R","NA","","N","07 - 08","101","04","HARRIS","Middle"
"ALDINE ISD","WILSON INT","101902","101902067","","N","R","NA","","N","05 - 06","101","04","HARRIS","Middle"
"ALDINE ISD","WORSHAM EL","101902","101902110","","N","E","NA","","N","PK - 04","101","04","HARRIS","Elementary"
"ALEDO ISD","ALEDO EL","184907","184907102","184907101","N","E","NA","ALEDO INT.","N","EE - 02","184","11","PARKER","Elementary"
"ALEDO ISD","ALEDO H S","184907","184907001","","N","R","NQ","","N","09 - 12","184","11","PARKER","Secondary"
"ALEDO ISD","ALEDO INT","184907","184907101","","N","E","NA","","N","03 - 05","184","11","PARKER","Elementary"
"ALEDO ISD","ALEDO MIDDLE","184907","184907041","","N","E","NA","","N","06 - 08","184","11","PARKER","Middle"
"ALICE ISD","ADAMS J H","125901","125901043","","N","A","NA","","N","08 - 09","125","02","JIM WELLS","Middle"
"ALICE ISD","ALICE H S","125901","125901001","","N","A","NQ","","N","10 - 12","125","02","JIM WELLS","Secondary"
"ALICE ISD","DUBOSE MIDDLE","125901","125901041","","N","A","NA","","N","06 - 07","125","02","JIM WELLS","Middle"
"ALICE ISD","GARCIA EL","125901","125901102","","N","A","NA","","N","KG - 05","125","02","JIM WELLS","Elementary"
"ALICE ISD","HILLCREST EL","125901","125901101","","N","A","NA","","N","KG - 05","125","02","JIM WELLS","Elementary"
"ALICE ISD","MEMORIAL MIDDLE","125901","125901042","","N","A","NA","","N","06 - 07","125","02","JIM WELLS","Middle"
"ALICE ISD","NAYER EL","125901","125901103","","N","A","NA","","N","EE - 05","125","02","JIM WELLS","Elementary"
