"ALLEN ISD","FRANCES E NORTON EL","AEWMN","043901108","043901","043","10","COLLIN","E","EE - 06","N"," "," ","E"
"ALLEN ISD","GENE M REED EL","AEWMNY","043901104","043901","043","10","COLLIN","E","KG - 06","N"," "," ","R"
"ALLEN ISD","GEORGE J ANDERSON EL","AEWMNZ","043901109","043901","043","10","COLLIN","E","EE - 06","N"," "," ","R"
"ALLEN ISD","JAMES AND MARGIE MARION ELEMENTAR","AEWMN","043901112","043901","043","10","COLLIN","E","EE - 06","N"," "," ","R"
"ALLEN ISD","KERR ELEMENTARY SCHOOL","AEWMN","043901111","043901","043","10","COLLIN","E","KG - 06","N"," "," ","R"
"ALLEN ISD","LOWERY FRESHMAN CENTER","EY","043901002","043901","043","10","COLLIN","S","09 - 09","N"," "," ","A"
"ALLEN ISD","MAX O VAUGHAN EL","AEWMN","043901106","043901","043","10","COLLIN","E","KG - 06","N"," "," ","E"
"ALLEN ISD","W E PETE FORD MIDDLE","EWS","043901042","043901","043","10","COLLIN","M","07 - 08","N"," "," ","R"
"ALLEN ISD","WALTER & LOIS CURTIS MIDDLE","AEWS","043901043","043901","043","10","COLLIN","M","07 - 08","N"," "," ","R"
"ALPHA CHARTER SCHOOL","ALPHA CHARTER SCHOOL"," ","057832001","057832","057","10","DALLAS","B","KG - 12","Y"," "," ","1"
"ALPHONSO CRUTCH'S-LIFE SUPPORT CEN","ALPHONSO CRUTCH'S-LIFE SUPPORT CE"," ","101817001","101817","101","04","HARRIS","B","06 - 12","Y"," "," ","1"
"ALPINE ISD","ALPINE EL","EWZ","022901101","022901","022","18","BREWSTER","E","EE - 04","N"," "," ","R"
"ALPINE ISD","ALPINE H S"," ","022901001","022901","022","18","BREWSTER","S","09 - 12","N"," "," ","A"
"ALPINE ISD","ALPINE MIDDLE","EWNSX","022901041","022901","022","18","BREWSTER","M","05 - 08","N"," "," ","R"
"ALTO ISD","ALTO EL","EWMZ","037901101","037901","037","07","CHEROKEE","E","PK - 04","N"," "," ","A"
"ALTO ISD","ALTO H S","ARZ","037901001","037901","037","07","CHEROKEE","S","09 - 12","N"," "," ","A"
"ALTO ISD","ALTO MIDDLE","AWS","037901041","037901","037","07","CHEROKEE","M","05 - 08","N"," "," ","A"
"ALVARADO ISD","ALVARADO EL-NORTH","EWX","126901102","126901","126","11","JOHNSON","E","EE - 04","N"," "," ","A"
"ALVARADO ISD","ALVARADO EL-SOUTH","EWY","126901101","126901","126","11","JOHNSON","E","PK - 04","N"," "," ","A"
"ALVARADO ISD","ALVARADO H S","R","126901001","126901","126","11","JOHNSON","S","08 - 12","N"," "," ","A"
"ALVARADO ISD","ALVARADO INT","A","126901104","126901","126","11","JOHNSON","M","05 - 06","N"," "," ","A"
"ALVARADO ISD","ALVARADO J H"," ","126901041","126901","126","11","JOHNSON","M","07 - 08","N"," "," ","A"
"ALVARADO ISD","JUVENILE JUSTICE ALTERNATIVE"," ","126901003","126901","126","11","JOHNSON","S","07 - 10","N"," "," ","X"
"ALVARADO ISD","LILLIAN EL","EX","126901103","126901","126","11","JOHNSON","E","EE - 04","N"," "," ","R"
"ALVIN ISD","ALVIN ELEMENTARY","EMNY","020901101","020901","020","04","BRAZORIA","E","04 - 06","N"," "," ","R"
"ALVIN ISD","ALVIN HIGH SCHOOL","X","020901001","020901","020","04","BRAZORIA","S","09 - 12","N"," "," ","A"
"ALVIN ISD","ALVIN J H","EX","020901041","020901","020","04","BRAZORIA","M","07 - 08","N"," "," ","A"
"ALVIN ISD","ALVIN PRI","EM","020901102","020901","020","04","BRAZORIA","E","EE - 03","N"," "," ","E"
"ALVIN ISD","ASSETS"," ","020901005","020901","020","04","BRAZORIA","S","07 - 10","N"," "," ","1"
"ALVIN ISD","DAY STAR RESIDENTIAL"," ","020901200","020901","020","04","BRAZORIA","B","KG - 12","N"," "," ","X"
"ALVIN ISD","DON JETER ELEMENTARY","WMN","020901110","020901","020","04","BRAZORIA","E","EE - 06","N"," "," ","A"
